,原文（日本語）,変換後（ローマ字）,m,s,hb,w
0,['あらゆる現実をすべて自分のほうへねじ曲げたのだ'],arayuru genjitsu wosubete jibun nohouheneji mage tanoda,1,1,4,1
1,['一週間ばかりニューヨークを取材した'],isshuukan bakari nyuuyooku wo shuzai shita,0,4,3,1
2,['テレビゲームやパソコンでゲームをして遊ぶ'],terebigeemu ya pasokon de geemu woshite asobu,2,3,2,1
3,['物価の変動を考慮して給付水準を決める必要がある'],bukka no hendou wo kouryoshi te kyuufu suijun wo kime ru hitsuyou gaaru,1,2,3,2
4,['救急車が十分に動けず 救助作業が遅れている'],kyuukyuusha ga juubun ni ugoke zu  kyuujo sagyou ga okure teiru,0,2,2,0
5,['言論の自由は一歩譲れば百歩も千歩も 攻めこまれる'],genron no jiyuu ha ippo yuzure ba hyappo mo sen ayumo  seme komareru,4,2,3,0
6,['会場の周辺には原宿駅や代々木駅もあるしちょっと歩けば新宿御苑駅もある'],kaijou no shuuhen niha harajukueki ya yoyogi eki moarushichotto aruke ba shinjukugyoen eki moaru,2,3,6,0
7,['老人ホームの場合は 健康器具や ひざ掛けだ'],roujin hoomu no baai ha  kenkou kigu ya  hiza kake da,1,0,4,0
8,['ちょっと 遅い昼食をとるため ファミリー レストランに 入ったのです'],chotto  osoi chuushoku wotorutame  famirii  resutoran ni  itsutsu tanodesu,2,4,3,1
9,['嬉しいはずが ゆっくり 寝ても いられない'],ureshi ihazuga  yukkuri  nete mo  irarenai,1,1,1,0
10,['自然の研究者は自然をねじ伏せようとしてはいけない。'],shizen no kenkyuusha ha shizen woneji fuse youtoshitehaikenai。,0,5,3,1
11,['おごりを捨て謙虚な姿勢を取り戻さねば冬は過ごせない。'],ogoriwo sute kenkyo na shisei wo tori modosa neba fuyu ha sugo senai。,1,6,2,2
12,['先だってごく短期間だが 久方ぶりにヨーロッパへ行(い)った'],saki dattegoku tankikan daga  kukata burini yooroppa he gyou ( i) tta,0,1,2,0
13,['しかしこのプロ野球ブームも永久に 続くとは限らぬ'],shikashikono puro yakyuu buumu mo eikyuu ni  tsuzuku toha kagira nu,2,2,2,0
14,['お客さんはそれじゃ 練習さえすればだれにでもできるんじゃないかなって考え始めるよ'],o kyaku sanhasoreja  renshuu saesurebadarenidemodekirunjanaikanatte kangae hajime ruyo,2,5,4,0
15,['アフリカ人は実に巧みに ぴゅんとつばを吐く'],afurika nin ha jitsuni takumi ni  pyuntotsubawo haku,1,0,3,1
16,['前者を 普遍文化と呼び 後者を個別文化と呼ぶ ことにする'],zensha wo  fuhen bunka to yobi  kousha wo kobetsu bunka to yobu  kotonisuru,0,3,8,2
17,['叔父さんは岬の一軒家(いっけんや)に 独りぼっちで住んでいた'],oji sanha misaki no ikkenya ( ikkenya) ni  hitori botchide sun deita,1,3,4,0
18,['立春がすぎても 厳しい寒さの日々が続く'],risshun gasugitemo  kibishi i samusa no hibi ga tsuzuku,2,6,4,0
19,['大昔の フィリピンには 豊かな土地があった'],oomukashi no  firipin niha  yutaka na tochi gaatta,1,1,2,0
20,['旅館やホテルに 着くと非常口を尋ねる'],ryokan ya hoteru ni  tsuku to hijouguchi wo tazune ru,0,0,3,1
21,['やるべきことはやっておりなんら 落ち度はない'],yarubekikotohayatteorinanra  ochi do hanai,0,0,4,0
22,['私は 上着を 脱ぎ 石組みの 上に 両手を ついて うつぶせになった'],watashi ha  uwagi wo  nugi  ishi kumi no  jouni  ryoute wo  tsuite  utsubuseninatta,1,3,2,4
23,['外人サンは完璧主義である'],gaijin san ha kanpekishugi dearu,0,2,2,0
24,['人間とは 微妙で 複雑な生き物である'],ningen toha  bimyou de  fukuzatsu na ikimono dearu,2,0,2,0
25,['ここ一か月はほとんど不眠不休の 徹夜つづきで目が腫れ上がっている'],koko ichi ka gatsu hahotondo fuminfukyuu no  tetsuya tsuzukide me ga hare aga tteiru,2,0,4,0
26,['午前八時 健康な 捕虜は 作業所(さぎょうじょ)へ トラックで出発する'],gozen hachi toki  kenkou na  horyo ha  sagyousho ( sagyoujo) he  torakku de shuppatsu suru,0,5,7,0
27,['見上げる フジもいいが路地植えまた鉢植えの花もきれいです'],miage ru  fuji moiiga roji ue mata hachi ue no hana mokireidesu,4,1,3,0
28,[' 母は脳血栓の後遺症で老人性痴呆症になり一年前から入院中です'], haha ha nou kessen no kouishou de roujinsei chihoushou ninari ichinenmae kara nyuuinchuu desu,1,6,9,0
29,['パジャマとティーシャツがめくれて薄い肋骨の下にぺちゃんこの腹が見えた'],pajama to teiishatsu gamekurete usui rokkotsu no shitani pechankono hara ga mie ta,3,3,3,0
30,['また襟や袖口 ポケットロなどが油汚れで変色をおこすことものあります'],mata eri ya sodeguchi  pokettoro nadoga abura yogore de henshoku wookosukotomonoarimasu,3,4,4,1
31,['着用中にダウンやフェザーが飛び出す原因ともなります'],chakuyou nakani daun ya fezaa ga tobidasu gen'in tomonarimasu,2,2,2,0
32,['インタビューは午後十時から 始まり途中で夕食をはさみ延々四時 間に 及んだ'],intabyuu ha gogo totoki kara  hajimari tochuu de yuushoku wohasami en'en yoji  mani  oyon da,3,2,6,1
33,['効果を 急ぐあまりの 過度の 練習は 避けウォーミングアップも 念人りにやりましょう'],kouka wo  isogu amarino  kado no  renshuu ha  sake uoominguappu mo  nen nin riniyarimashou,4,4,3,1
