,原文（日本語）,変換後（ローマ字）,m,s,hb,w
0,['予防や 健康管理 リハビリテーションのための制度を 充実していく  必要があろう'],yobou ya  kenkoukanri  rihabiriteeshon notameno seido wo  juujitsu shiteiku   hitsuyou gaarou,1,3,5,1
1,['老若男女が 火を 囲んで 飲み 手をつないで 歌う。'],roujakudanjo ga  hi wo  kakon de  nomi  te wotsunaide  utau。,1,0,1,2
2,['出口の ない 飛行中の 航空機の 異変は 恐怖の 極限状況といってよい'],deguchi no  nai  hikouchuu no  koukuuki no  ihen ha  kyoufu no  kyokugen joukyou toitteyoi,0,0,5,0
3,['わずかな収入を やりくりして現金で サービスを利用している'],wazukana shuunyuu wo  yarikurishite genkin de  saabisu wo riyou shiteiru,0,5,2,3
4,['難しい 食事療法から 下痢の 世話まで 二十四時間介護の日々が続いた'],muzukashii  shokujiryouhou kara  geri no  sewa made  nijuushi jikan kaigo no hibi ga tsuzui ta,2,4,4,1
5,['倒れて道路をふさぐ恐れがあるブロック塀や石塀を点検し改善しておく'],taore te douro wofusagu osore gaaru burokku hei ya ishi hei wo tenken shi kaizen shiteoku,0,5,3,2
6,['ついで 財務省が 専門家を 集めて 具体案を 練った'],tsuide  zaimu shou ga  senmonka wo  atsume te  gutaian wo  netsu ta,3,2,1,2
7,['こういう絵が やすやすと 描(か)けるはずはない'],kouiu e ga  yasuyasuto  byou ( ka) keruhazuhanai,0,2,3,0
8,['背の 高さは 一七〇センチほどで 目が 大きく やや 太っている'],se no  takasa ha  ichi shichi 〇 senchi hodode  me ga  ookiku  yaya  futotsu teiru,1,4,5,0
9,['なつかしい プロペラ機でふわりふわりと地球を一周したところが すばらしい'],natsukashii  puropera ki defuwarifuwarito chikyuu wo isshuu shitatokoroga  subarashii,0,6,3,3
10,['よほど具合が悪くなければ昼間 横になるなんて夢のまた夢だ'],yohodo guai ga waruku nakereba hiruma  yoko ninarunante yume nomata yume da,4,0,3,1
11,['強風と 冷えこみの 強い 神宮のグラウンドである'],kyoufuu to  hiekomi no  shii  jinguu no guraundo dearu,1,1,1,0
12,['ぶらぶらと球場まで十分足らずの 道を 歩いていく。'],buraburato kyuujou made juubun tara zuno  michi wo  arui teiku。,2,0,4,1
13,['大声を 出しすぎて かすれ声に なってしまう。'],oogoe wo  dashi sugite  kasure koe ni  natteshimau。,1,4,0,1
14,['足し算 引き算はできなくても 絵は 描(か)ける。'],tashizan  hikizan hadekinakutemo  e ha  byou ( ka) keru。,1,1,4,0
15,['それを かばおうとして 右ひざとふくらはぎをやられた。'],sorewo  kabaoutoshite  migi hizatofukurahagiwoyarareta。,1,2,3,2
16,['現地に着いていざというときおぶってくれる 原住民を頼んだがこれがピグミーであった'],genchi ni tsui teizatoiutokiobuttekureru  genjuumin wo tanon dagakorega pigumii deatta,2,0,2,1
17,['ゆらゆら 電球が 揺れて 影が 草の上を ちらちらした。'],yurayura  denkyuu ga  yure te  kage ga  kusa no ue wo  chirachirashita。,0,2,2,1
18,['ぼくは ほとんど夢中で 駅前の人ごみの間をすりぬけた。'],bokuha  hotondo muchuu de  ekimae no nin gomino kan wosurinuketa。,3,1,4,1
19,['この 喜びは むろん 家(いえ)へ 帰り着いても 消えずにつづいた。'],kono  yorokobi ha  muron  ie ( ie) he  kaeri tsui temo  kie zunitsuzuita。,2,0,3,0
20,['どの部屋の 意匠にも 遊び心があふれていて 楽しい。'],dono heya no  ishou nimo  asobigokoro gaafureteite  tanoshi i。,1,3,3,0
21,['飛ぶ 自由を得ることは人類の夢だった。'],tobu  jiyuu wo eru kotoha jinrui no yume datta。,1,0,2,1
22,['育ちのよい 坊っちゃんの良さと 逆境に 育った人間の強さ'],sodachi noyoi  botchan no yosa to  gyakkyou ni  sodatsu ta ningen no tsuyosa,0,4,3,0
23,['初めて ルーブル美術館へ 入ったのは 十四年前のことだ。'],hajimete  ruuburu bijutsukan he  itsutsu tanoha  juuyon nenmae nokotoda。,2,0,5,0
24,['自分の実力は自分が一番よく知っているはずだ。'],jibun no jitsuryoku ha jibun ga ichiban yoku shitte iruhazuda。,0,1,6,0
25,['茶色の眼は柔和な かがやきをおびていた。'],chairo no me ha nyuuwa na  kagayakiwoobiteita。,1,0,3,2
26,['今 流行の単身赴任族の 淋しさを ちょっぴり味わわせてもらったのも 有意義な体験だ。'],ima  ryuukou no tanshinfuninzoku no  sabishi sawo  choppiri ajiwa wasetemorattanomo  yuuigi na taiken da。,3,5,2,3
27,['やはり 無表情のまま何もことばがありません。'],yahari  muhyoujou nomama nanimo kotobagaarimasen。,5,1,3,0
28,['生きた 潤滑油です。'],iki ta  junkatsuyu desu。,0,1,0,0
