,原文（日本語）,変換後（ローマ字）,m,s,hb,w
0,['六百人のお客さんの人いきれに むし暑くて 扇子を使わずに いられない。'],roku hyakunin noo kyaku sanno nin ikireni  mushi atsuku te  sensu wo tsukawa zuni  irarenai。,1,4,1,2
1,['やがて 証拠の 書類や 物品が 押収され 諸君は 取調べのため、国税局へ連行される。'],yagate  shouko no  shorui ya  buppin ga  oushuu sare  shokun ha  torishirabe notame、 kokuzeikyoku he renkou sareru。,1,7,8,0
2,['最初 早いテンポで 巻きこんでおいて 中盤 じっくり見せる。'],saisho  hayai tenpo de  maki kondeoite  chuuban  jikkuri mise ru。,2,3,4,0
3,['文芸編集者としては 作家たちに最も信頼されている名編集者だ。'],bungei henshuusha toshiteha  sakka tachini mottomo shinrai sareteiru mei henshuusha da。,3,8,9,0
4,['あの坂をのぼれば 海が見える。'],ano saka wonoboreba  umi ga mie ru。,2,1,2,1
5,['エネルギーを節約するための技術を開発することも大切である。'],enerugii wo setsuyaku surutameno gijutsu wo kaihatsu surukotomo taisetsu dearu。,2,4,1,2
6,['生活扶助 医療扶助 住宅扶助などによって 貧困に陥った人々を 援助している。'],seikatsu fujo  iryou fujo  juutaku fujo nadoniyotte  hinkon ni ochitsu ta hitobito wo  enjo shiteiru。,0,2,4,1
7,['開放は 進むがそのことで日本の輸入が急増し 貿易黒字が急減するとは思えない。'],kaihou ha  susumu gasonokotode nippon no yunyuu ga kyuuzou shi  bouekikuroji ga kyuugen surutoha omoe nai。,2,5,4,0
8,['手抜きがあればいい布は 生まれない。'],tenuki gaarebaii nuno ha  umare nai。,1,0,2,0
9,['農業をやめざるをえない人があり 関連企業もこの不況にひきずられているという。'],nougyou woyamezaruwoenai nin gaari  kanren kigyou mokono fukyou nihikizurareteirutoiu。,2,0,1,2
10,['生みの親は サンフランシスコに住む日系人たちだった。'],umi no oya ha  sanfuranshisuko ni sumu nikkeijin tachidatta。,2,4,2,0
11,['現地の 発音を重んじて そう 呼ぶように なった。'],genchi no  hatsuon wo omon jite  sou  yobu youni  natta。,1,1,3,1
12,['その 列車が 大口を 開けて 国家秘密法を ちらつかせている。'],sono  ressha ga  ooguchi wo  hirake te  kokkahimitsu hou wo  chiratsukaseteiru。,1,4,6,2
13,['十年前 日本の 一人当りのGDPは 世界で十六位程度だった。'],juunenmae  nippon no  hitoriatari rino GDP ha  sekai de juuroku kurai teido datta。,1,1,2,0
14,['もう 夢中になって玉ねぎ じゃがいもあらゆる 野菜を買い込む。'],mou  muchuu ninatte tama negi  jagaimoarayuru  yasai wo kai komu。,5,1,1,1
15,['ぐずぐず 考えていたら 三十分も フトンから 出られなかった。'],guzuguzu  kangae teitara  sanjuu fun mo  futon kara  dera renakatta。,1,1,0,0
16,['一年ほど前から ひそかに 茶を 習いはじめている。'],ichinen hodo zenka ra  hisokani  cha wo  narai hajimeteiru。,1,1,5,1
17,['水が 上ってきたら あとはゆっくりと 上下させればよい。'],mizu ga  atsu tekitara  atohayukkurito  jouge saserebayoi。,1,2,2,0
18,['広い 構内にレストランや 列車食堂などを配し、札幌ビール園に似た雰囲気だ。'],hiroi  kounai ni resutoran ya  resshashokudou nadowo hai shi、 sapporo biiru sono ni nita fun'iki da。,0,7,5,1
19,['近くの 原野で 乗馬 射撃 狩猟などを 楽しむことができる。'],chikaku no  genya de  jouba  shageki  shuryou nadowo  tanoshi mukotogadekiru。,1,3,4,1
20,['日本人の美意識を決定づけたのが茶の湯だが茶室の標準は四畳半なかには 一畳余りというミニもある。'],nihonjin no biishiki wo kettei zuketanoga cha no yu daga chashitsu no hyoujun ha yojouhan nakaniha  ichijou amari toiu mini moaru。,3,2,9,1
21,['しかし そうなるとかえって 眠れず 寝酒の量もふえてゆく。'],shikashi  sounarutokaette  nemure zu  ne sake no ryou mofueteyuku。,2,4,0,0
22,['ずっしりと手応えのある体験をつむ青年がふえてほしい。'],zusshirito tegotae noaru taiken wotsumu seinen gafuetehoshii。,1,4,1,1
23,['いつごろ 将棋を 覚えたか はっきりしない。'],itsugoro  shougi wo  oboe taka  hakkirishinai。,0,2,3,1
24,['夫人名義になっている住宅の半分をわざわざ 除いて公表する。'],fujin meigi ninatteiru juutaku no hanbun wowazawaza  nozoi te kouhyou suru。,1,1,3,3
25,['ちゃんとした文章を しゃべらず 単語で 間に合わせる。'],chantoshita bunshou wo  shaberazu  tango de  maniawase ru。,1,4,5,2
26,['私は 安心と あせりがごちゃまぜの 複雑な心境だ。'],watashi ha  anshin to  aserigagochamazeno  fukuzatsu na shinkyou da。,1,4,2,1
27,['包丁の手を止めて流れる涙を エプロンでぬぐったのはタマネギのせいだけではない。'],houchou no te wo tome te nagare ru namida wo  epuron denuguttanoha tamanegi noseidakedehanai。,3,1,4,2
28,['私には 約束時間 ぎりぎりに 家(うち)を 出るという悪い癖がある。'],watashi niha  yakusoku jikan  girigirini  ie ( uchi) wo  deru toiu warui kuse gaaru。,0,3,2,3
29,['はじめは喜んだ見舞客をいやがるようになった。'],hajimeha yorokonda mimai kyaku woiyagaruyouninatta。,3,0,2,1
30,['救急車で病院に運ばれる途中に息を引取ったのだとし'],kyuukyuusha de byouin ni hakoba reru tochuu ni iki wo hiki totsu tanodatoshi,0,2,6,1
31,['冬が長くて 辛ければそれだけ 歓びも 大きいのだ。'],fuyu ga nagaku te  tsurake rebasoredake  kan bimo  ookii noda。,1,1,2,0
32,['女の子は 以前は パンより 御飯が好きで 喜んでお代わりをした。'],onnanoko ha  izen ha  pan yori  gohan ga suki de  yorokonde o kawari woshita。,0,2,3,2
33,['これは 私より よほど重症である。'],koreha  watashi yori  yohodo juushou dearu。,0,2,3,1
34,['細長い 指先で 激しく 鍵(けん)を叩く。'],hosonagai  yubisaki de  hageshiku  kagi ( ken) wo tataku。,0,3,3,1
35,['幼児は しばしば フィクションと 現実とを 混同する。'],youji ha  shibashiba  fikushon to  genjitsu towo  kondou suru。,0,4,4,1
36,['新聞 週刊誌 雑誌にかぎらずほとんどすべての 取材記者は自分の予定原稿を 持って やってくるのだ。'],shinbun  shuukanshi  zasshi nikagirazuhotondosubeteno  shuzai kisha ha jibun no yotei genkou wo  motsu te  yattekurunoda。,1,8,8,1
37,['世間体を繕い 他人の自分への評価や印象を いつも気づかう人が多いのも事実であろう。'],sekentei wo tsukuroi  tanin no jibun heno hyouka ya inshou wo  itsumo kizu kau nin ga ooi nomo jijitsu dearou。,2,2,4,2
38,['汚染はもはや 地球規模であり人類はその種の存続さえ危うくされているのだ。'],osen hamohaya  chikyuukibo deari jinrui hasono tane no sonzoku sae abunau kusareteirunoda。,1,5,6,0
39,['自分を 守ってくれる 人が 欲しくて必死だった。'],jibun wo  mamotsu tekureru  nin ga  hosshi kute hisshi datta。,2,4,3,1
40,['収入とは無関係のボランティアではあっても続けると決意した以上踏み出さねばならない。'],shuunyuu toha mukankei no boranteia dehaattemo tsuzuke ruto ketsui shita ijou fumi dasa nebanaranai。,3,3,5,0
41,['午後四時の電車で 帰りますから 牛乳を あたためて 水筒に入れ乳母車に 積んで 迎えに行(い)きます。'],gogo yoji no densha de  kaeri masukara  gyuunyuu wo  atatamete  suitou ni ire ubaguruma ni  tsun de  mukae ni gyou ( i) kimasu。,5,4,2,1
42,['主人の仕事は 建築業で 作業服を 着て 出勤します。'],shujin no shigoto ha  kenchikugyou de  sagyoufuku wo  kite  shukkin shimasu。,1,6,4,1
43,['これでは 母親が 嘆くのも無理は ありません。'],koredeha  hahaoya ga  nageku nomo muri ha  arimasen。,3,1,4,0
44,['ブラッシングすると毛羽立ちやすいので注意が必要です。'],burasshingu suruto ke hane tachi yasuinode chuui ga hitsuyou desu。,0,5,5,0
45,['疲労回復には 十分な睡眠が必要だ。'],hirou kaifuku niha  juubun na suimin ga hitsuyou da。,1,1,4,0
46,['プレー中 絶えず 笑いを浮かべる 彼女の 強さばかりが目立った。'],puree naka  tae zu  warai wo uka beru  kanojo no  tsuyosa bakariga medatsu ta。,1,1,2,2
47,['日本でも 半導体価格が上昇し始め 不況に 出口が見え始めた。'],nippon demo  handoutai kakaku ga joushou shi hajime  fukyou ni  deguchi ga mie hajime ta。,4,2,5,0
48,['反政府デモへの 一般学生 一般市民の合流を過大評価することは適切で はあるまい。'],hanseifu demo heno  ippan gakusei  ippanshimin no gouryuu wo kadaihyouka surukotoha tekisetsu de  haarumai。,3,5,5,1
49,['セミしぐれの 中を 東京 千鳥ヶ淵戦没者墓苑を 訪れた。'],semi shigureno  naka wo  toukyou  chidorigafuchi senbotsu mono haka en wo  otozure ta。,2,3,4,2
