,原文（日本語）,変換後（ローマ字）,m,s,hb,w
0,['十分間の休憩を 与えられ 乱れた髪を結い直し 肩の汗をぬぐって支度部屋で 呼吸を整える。'],juppunkan no kyuukei wo  atae rare  midare ta kami wo yui naoshi  kata no ase wonugutte shitakubeya de  kokyuu wo totonoe ru。,2,3,1,4
1,['つぎの 瞬間 万歳 万歳の 声が 聞こえていた。'],tsugino  shunkan  banzai  banzai no  koe ga  kiko eteita。,0,1,3,0
2,['スピーチが下手なのだから 原稿を 用意したほうがいい。'],supiichi ga heta nanodakara  genkou wo  youishi tahougaii。,0,2,3,1
3,['ふりあおぐとすぐ頭上を 光が走った。'],furiaogutosugu zujou wo  hikari ga hashitsu ta。,0,2,2,1
4,['労働力の 需要と 供給の 出会う 場が労働市場である。'],roudouryoku no  juyou to  kyoukyuu no  deau  ba ga roudou shijou dearu。,0,1,1,0
5,['日本が輸入する 食品や 石油を守るためのものなのか。'],nippon ga yunyuu suru  shokuhin ya  sekiyu wo mamoru tamenomononanoka。,4,3,2,1
6,['みんな 服や ネクタイの 色は よく 覚えている。'],minna  fuku ya  nekutai no  shoku ha  yoku  oboe teiru。,1,1,3,0
7,['無事 脱出は できても いつ 島に 戻れるのかという不安は続く。'],buji  dasshutsu ha  dekitemo  itsu  shima ni  modore runokatoiu fuan ha tsuzuku。,3,3,4,0
8,['昭和十二年ごろと 比べ 最近の公務員の初任給は千六百倍になっている。'],shouwa juuni nen goroto  kurabe  saikin no koumuin no shoninkyuu ha sen roku hyakubai ninatteiru。,1,4,6,1
9,['留守中の郵便物を処理するだけで 優に 半日はかかる。'],rusuchuu no yuubinbutsu wo shori surudakede  yuu ni  hannichi hakakaru。,0,3,7,1
10,['羊は 慌てて 列に 戻り 再び 群れと 一緒に 進んで いく。'],hitsuji ha  awate te  tsurani  modori  futatabi  mure to  isshoni  susun de  iku。,2,4,4,1
11,['やっぱり 一生懸命 やれば自然と 結果はついてくる。'],yappari  isshoukenmei  yareba shizen to  kekka hatsuitekuru。,1,3,3,0
12,['四畳半のアパートのわが家(や)には三人もの お客さまがみえた。'],yojouhan no apaato nowaga ie ( ya) niha sannin mono  o kyaku samagamieta。,3,2,2,1
13,['不満やいらだちはもっぱら 受験や 身のまわりに向けられている。'],fuman yairadachihamoppara  juken ya  mino mawarini muke rareteiru。,5,0,2,1
14,['竹の皮に 麦飯の おにぎりを包んで 持参し 昼食は これに番茶だ。'],take no kawa ni  mugimeshi no  onigiriwo tsutsun de  jisan shi  chuushoku ha  koreni bancha da。,2,4,5,2
15,['午後は出勤して 航空問題や漁業問題の 仕事に取り組む。'],gogo ha shukkin shite  koukuu mondai ya gyogyou mondai no  shigoto ni torikumu。,3,3,2,0
16,['早目に 朝食を 済ませ 十時から 館員と 夫人が 集合し記念撮影を行う'],hayame ni  choushoku wo  suma se  totoki kara  kan'in to  fujin ga  shuugou shi kinensatsuei wo okonau,2,6,4,2
17,['ぼくたちが泊まる 獅子口(ししぐち)小屋へ 着いたのは二時半ごろだった。'],bokutachiga toma ru  shishi kuchi ( shishiguchi) koya he  tsui tanoha niji han gorodatta。,1,4,7,0
18,['怒れば怒るほど火に油を注ぐようなものだった。'],ikare ba ikaru hodo hi ni abura wo sosogu younamonodatta。,1,2,4,1
19,[' 大半は 大手の 流通業者をへて 書店へ 流れるがたちまち 返本となっ て姿を消す本が少なくない。'], taihan ha  oote no  ryuutsuugyou mono wohete  shoten he  nagare rugatachimachi  henpon tonatsu  te sugata wo kesu hon ga sukunaku nai。,2,4,9,2
20,['人びとは 非難し 悩みながら 歩み寄っていく。'],hitobito ha  hinan shi  nayami nagara  ayumi yotsu teiku。,2,1,4,0
21,['十四年前 アル中患者に なりすましてある精神病院に入院した 本社の記者は 書いている。'],juuyon nenmae  aru naka kanja ni  narisumashitearu seishinbyouin ni nyuuin shita  honsha no kisha ha  kai teiru。,2,7,5,0
22,"['おかげで 目標は,依然 遠いままだ。']","okagede  mokuhyou ha, izen  tooi mamada。",3,0,2,0
23,['うれしそうに 自分で パンツをはいている。'],ureshisouni  jibun de  pantsu wohaiteiru。,0,2,2,1
24,['先日 久しぶりで 郷里へ 帰ってきた。'],senjitsu  hisashi buride  kyouri he  kaetsu tekita。,0,3,3,0
25,['この日 一日で 日焼けをした 腕などが ひりひりする。'],kono nichi  tsuitachi de  hiyake woshita  ude nadoga  hirihirisuru。,0,2,5,1
26,['医院を出たあと気づいて 腕時計を見るとちょうど 五時半であった。'],iin wo deta ato kizu ite  udedokei wo miru tochoudo  goji han deatta。,1,0,2,2
27,['こうした 川の恵みを存分に 受けながら 人類は 繁栄への道を歩み始めたのだと いっていい。'],koushita  kawa no megumi wo zonbun ni  uke nagara  jinrui ha  han'ei heno michi wo ayumi hajime tanodato  itteii。,5,1,6,3
28,['虚偽 不条理を 許さないという 勇気によってしか 我々は人間らしい心を保持することができないのです。'],kyogi  fujouri wo  yurusa naitoiu  yuuki niyotteshika  wareware ha ningen rashii kokoro wo hoji surukotogadekinainodesu。,0,5,2,4
29,['不思議そうな 表情が 一瞬 疲れが 抜けたような柔らかい表情に変わった。'],fushigi souna  hyoujou ga  isshun  tsukare ga  nuke tayouna yawara kai hyoujou ni kawa tta。,0,4,3,2
30,['まるで 大空に両手を広げ バンザイしたように 伸びた枝がドームのように 上水路を おおっています。'],marude  oozora ni ryoute wo hiroge  banzai shitayouni  nobi ta eda ga doomu noyouni  kamimizu michi wo  ootteimasu。,6,2,4,2
31,['われわれ 技術者は最高の技術 最善の手を追求して明け暮れてきた。'],wareware  gijutsusha ha saikou no gijutsu  saizen no te wo tsuikyuu shite ake kure tekita。,0,4,2,3
32,['管理され 保護されて無駄を 知らずに育った人間は弱い。'],kanri sare  hogo sarete muda wo  shirazu ni sodatsu ta ningen ha yowai。,1,4,2,2
33,['板敷の上にひざまづいて自分は不浄な人間だと懺悔するのです。'],itajiki no jouni hizamazuite jibun ha fujou na ningen dato zange surunodesu。,1,2,3,0
34,['横目で ちらっと 見れば 主人の 立ち上がる気配がする。'],yokome de  chiratto  mire ba  shujin no  tachiaga ru kehai gasuru。,2,2,5,0
35,['私たち夫婦は 軍の依頼で 中国人運転手の通訳をしながら上海まで逃避行の同伴をした。'],watashitachi fuufu ha  gun no irai de  chuugokujin untenshu no tsuuyaku woshinagara shanhai made touhikou no douhan woshita。,1,5,8,3
36,['シャツもなくズボンもなくもちろん 古新聞もなければ 古雑誌もない。'],shatsu monaku zubon monakumochiron  furushinbun monakereba  furuzasshi monai。,5,4,5,0
37,['遊びも 勉強も マイペースで帰るべき 時間にはきちんと帰るという気張面さもある。'],asobi mo  benkyou mo  maipeesu de kaeru beki  jikan nihakichinto kaeru toiu ki chou mensa moaru。,5,3,6,0
38,['時々 狭い 敷地の (ひび)のはいった直線コースで 子供がキャッチボールをやっている。'],tokidoki  semai  shikichi no  ( hibi) nohaitta chokusen koosu de  kodomo ga kyatchibooru woyatteiru。,2,4,7,1
39,['首相になってからの方がずっと表情が柔和だった。'],shushou ninattekarano houga zutto hyoujou ga nyuuwa datta。,0,2,4,1
